modo,n,mediana_s,tiempos_s,speedup_vs_secuencial,eventos,nucleos_logicos
secuencial,1,12.186,11.613;12.186;12.323,1.0,2000146,20
hilos,1,12.189,12.183;12.194;12.189,0.9997,2000146,20
hilos,2,5.977,5.983;5.956;5.977,2.0389,2000146,20
hilos,4,6.019,5.989;6.019;6.024,2.0246,2000146,20
hilos,8,6.115,6.104;6.115;6.117,1.9927,2000146,20
hilos,16,6.209,6.153;6.209;6.219,1.9625,2000146,20
procesos,1,6.242,6.243;6.145;6.242,1.9523,2000146,20
procesos,2,3.124,3.158;3.120;3.124,3.9006,2000146,20
procesos,4,1.634,1.647;1.634;1.633,7.4589,2000146,20
procesos,8,1.085,1.077;1.117;1.085,11.2338,2000146,20
procesos,16,0.936,0.936;0.950;0.934,13.025,2000146,20
