corrida_id,etiqueta,fase,repeticion,ejecutado_utc,arch,workers,batch_size,queue_maxsize,esquema,seed,start_method,intervalo_s,sim_ticks,sim_dias,puntos,duracion_s,total_eventos,total_bytes,eventos_por_segundo,mb_por_segundo,bytes_por_evento,worker_min_s,worker_max_s,desbalance_puntos,pico_padre_mb,pico_hijo_mayor_mb,python,so,maquina,nucleos_logicos
20260908T182838-queue-w8-r0,comp-arch,calentamiento,0,2026-09-08T18:28:38+00:00,queue,8,10000,64,full,42,spawn,15.0,55866,9.699,179,6.004,10000014,1877676777,1665573.7,312.74,187.77,5.542,5.881,1,,,3.14.4,Windows 11,AMD64,20
20260908T182845-queue-w8-r1,comp-arch,medida,1,2026-09-08T18:28:45+00:00,queue,8,10000,64,full,42,spawn,15.0,55866,9.699,179,6.025,10000014,1877676777,1659669.0,311.63,187.77,5.54,5.903,1,,,3.14.4,Windows 11,AMD64,20
20260908T182851-queue-w8-r2,comp-arch,medida,2,2026-09-08T18:28:51+00:00,queue,8,10000,64,full,42,spawn,15.0,55866,9.699,179,5.893,10000014,1877676777,1696863.6,318.62,187.77,5.503,5.767,1,,,3.14.4,Windows 11,AMD64,20
20260908T182857-queue-w8-r3,comp-arch,medida,3,2026-09-08T18:28:57+00:00,queue,8,10000,64,full,42,spawn,15.0,55866,9.699,179,5.869,10000014,1877676777,1703943.1,319.94,187.77,5.477,5.731,1,,,3.14.4,Windows 11,AMD64,20
20260908T182815-shard-w8-r0,comp-arch,calentamiento,0,2026-09-08T18:28:15+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,5.094,10000014,1877676777,1963221.9,368.63,187.77,4.385,4.972,1,,,3.14.4,Windows 11,AMD64,20
20260908T182821-shard-w8-r1,comp-arch,medida,1,2026-09-08T18:28:21+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,5.501,10000014,1877676777,1817787.5,341.32,187.77,4.576,5.377,1,,,3.14.4,Windows 11,AMD64,20
20260908T182827-shard-w8-r2,comp-arch,medida,2,2026-09-08T18:28:27+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,5.441,10000014,1877676777,1837969.7,345.11,187.77,4.672,5.318,1,,,3.14.4,Windows 11,AMD64,20
20260908T182832-shard-w8-r3,comp-arch,medida,3,2026-09-08T18:28:32+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,5.358,10000014,1877676777,1866503.1,350.47,187.77,4.458,5.241,1,,,3.14.4,Windows 11,AMD64,20
20260908T182926-queue-w8-r0,comp-lotes,calentamiento,0,2026-09-08T18:29:26+00:00,queue,8,1,64,full,42,spawn,15.0,5587,0.97,179,11.535,1000073,186781772,86702.3,16.19,186.77,11.231,11.411,1,,,3.14.4,Windows 11,AMD64,20
20260908T183001-queue-w8-r0,comp-lotes,calentamiento,0,2026-09-08T18:30:01+00:00,queue,8,100,64,full,42,spawn,15.0,5587,0.97,179,0.678,1000073,186781772,1474133.1,275.32,186.77,0.516,0.557,1,,,3.14.4,Windows 11,AMD64,20
20260908T183004-queue-w8-r0,comp-lotes,calentamiento,0,2026-09-08T18:30:04+00:00,queue,8,1000,64,full,42,spawn,15.0,5587,0.97,179,0.628,1000073,186781772,1593074.6,297.54,186.77,0.456,0.503,1,,,3.14.4,Windows 11,AMD64,20
20260908T183007-queue-w8-r0,comp-lotes,calentamiento,0,2026-09-08T18:30:07+00:00,queue,8,10000,64,full,42,spawn,15.0,5587,0.97,179,0.683,1000073,186781772,1463972.1,273.42,186.77,0.477,0.557,1,,,3.14.4,Windows 11,AMD64,20
20260908T182937-queue-w8-r1,comp-lotes,medida,1,2026-09-08T18:29:37+00:00,queue,8,1,64,full,42,spawn,15.0,5587,0.97,179,11.336,1000073,186781772,88223.5,16.48,186.77,11.046,11.213,1,,,3.14.4,Windows 11,AMD64,20
20260908T183001-queue-w8-r1,comp-lotes,medida,1,2026-09-08T18:30:01+00:00,queue,8,100,64,full,42,spawn,15.0,5587,0.97,179,0.677,1000073,186781772,1477416.5,275.93,186.77,0.518,0.555,1,,,3.14.4,Windows 11,AMD64,20
20260908T183005-queue-w8-r1,comp-lotes,medida,1,2026-09-08T18:30:05+00:00,queue,8,1000,64,full,42,spawn,15.0,5587,0.97,179,0.637,1000073,186781772,1568961.7,293.03,186.77,0.473,0.511,1,,,3.14.4,Windows 11,AMD64,20
20260908T183008-queue-w8-r1,comp-lotes,medida,1,2026-09-08T18:30:08+00:00,queue,8,10000,64,full,42,spawn,15.0,5587,0.97,179,0.678,1000073,186781772,1475195.6,275.52,186.77,0.487,0.555,1,,,3.14.4,Windows 11,AMD64,20
20260908T182948-queue-w8-r2,comp-lotes,medida,2,2026-09-08T18:29:48+00:00,queue,8,1,64,full,42,spawn,15.0,5587,0.97,179,11.154,1000073,186781772,89657.2,16.75,186.77,10.864,11.034,1,,,3.14.4,Windows 11,AMD64,20
20260908T183002-queue-w8-r2,comp-lotes,medida,2,2026-09-08T18:30:02+00:00,queue,8,100,64,full,42,spawn,15.0,5587,0.97,179,0.673,1000073,186781772,1485203.6,277.39,186.77,0.513,0.545,1,,,3.14.4,Windows 11,AMD64,20
20260908T183005-queue-w8-r2,comp-lotes,medida,2,2026-09-08T18:30:05+00:00,queue,8,1000,64,full,42,spawn,15.0,5587,0.97,179,0.607,1000073,186781772,1647922.6,307.78,186.77,0.448,0.485,1,,,3.14.4,Windows 11,AMD64,20
20260908T183009-queue-w8-r2,comp-lotes,medida,2,2026-09-08T18:30:09+00:00,queue,8,10000,64,full,42,spawn,15.0,5587,0.97,179,0.691,1000073,186781772,1447554.1,270.36,186.77,0.471,0.545,1,,,3.14.4,Windows 11,AMD64,20
20260908T183000-queue-w8-r3,comp-lotes,medida,3,2026-09-08T18:30:00+00:00,queue,8,1,64,full,42,spawn,15.0,5587,0.97,179,11.305,1000073,186781772,88460.9,16.52,186.77,11.028,11.185,1,,,3.14.4,Windows 11,AMD64,20
20260908T183003-queue-w8-r3,comp-lotes,medida,3,2026-09-08T18:30:03+00:00,queue,8,100,64,full,42,spawn,15.0,5587,0.97,179,0.69,1000073,186781772,1450339.6,270.88,186.77,0.528,0.561,1,,,3.14.4,Windows 11,AMD64,20
20260908T183006-queue-w8-r3,comp-lotes,medida,3,2026-09-08T18:30:06+00:00,queue,8,1000,64,full,42,spawn,15.0,5587,0.97,179,0.608,1000073,186781772,1643673.6,306.99,186.77,0.447,0.482,1,,,3.14.4,Windows 11,AMD64,20
20260908T183009-queue-w8-r3,comp-lotes,medida,3,2026-09-08T18:30:09+00:00,queue,8,10000,64,full,42,spawn,15.0,5587,0.97,179,0.686,1000073,186781772,1458497.6,272.4,186.77,0.511,0.557,1,,,3.14.4,Windows 11,AMD64,20
20260908T181027-shard-w8-r1,entrega,medida,1,2026-09-08T18:10:27+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,5.504,10000014,1877676777,1816936.7,341.16,187.77,5.067,5.379,1,,,3.14.4,Windows 11,AMD64,20
20260908T181208-shard-w1-r0,escalabilidad,calentamiento,0,2026-09-08T18:12:08+00:00,shard,1,10000,,full,42,spawn,15.0,55866,9.699,179,44.387,10000014,1877676777,225293.3,42.3,187.77,44.291,44.291,0,,,3.14.4,Windows 11,AMD64,20
20260908T181240-shard-w1-r1,escalabilidad,medida,1,2026-09-08T18:12:40+00:00,shard,1,10000,,full,42,spawn,15.0,55866,9.699,179,31.43,10000014,1877676777,318171.8,59.74,187.77,31.334,31.334,0,,,3.14.4,Windows 11,AMD64,20
20260908T181311-shard-w1-r2,escalabilidad,medida,2,2026-09-08T18:13:11+00:00,shard,1,10000,,full,42,spawn,15.0,55866,9.699,179,30.845,10000014,1877676777,324206.5,60.88,187.77,30.748,30.748,0,,,3.14.4,Windows 11,AMD64,20
20260908T181342-shard-w1-r3,escalabilidad,medida,3,2026-09-08T18:13:42+00:00,shard,1,10000,,full,42,spawn,15.0,55866,9.699,179,31.0,10000014,1877676777,322580.3,60.57,187.77,30.904,30.904,0,,,3.14.4,Windows 11,AMD64,20
20260908T181358-shard-w2-r0,escalabilidad,calentamiento,0,2026-09-08T18:13:58+00:00,shard,2,10000,,full,42,spawn,15.0,55866,9.699,179,15.504,10000014,1877676777,644984.6,121.11,187.77,15.401,15.408,1,,,3.14.4,Windows 11,AMD64,20
20260908T181414-shard-w2-r1,escalabilidad,medida,1,2026-09-08T18:14:14+00:00,shard,2,10000,,full,42,spawn,15.0,55866,9.699,179,15.721,10000014,1877676777,636093.4,119.44,187.77,15.585,15.623,1,,,3.14.4,Windows 11,AMD64,20
20260908T181430-shard-w2-r2,escalabilidad,medida,2,2026-09-08T18:14:30+00:00,shard,2,10000,,full,42,spawn,15.0,55866,9.699,179,15.839,10000014,1877676777,631359.6,118.55,187.77,15.434,15.74,1,,,3.14.4,Windows 11,AMD64,20
20260908T181447-shard-w2-r3,escalabilidad,medida,3,2026-09-08T18:14:47+00:00,shard,2,10000,,full,42,spawn,15.0,55866,9.699,179,16.171,10000014,1877676777,618377.4,116.11,187.77,15.288,16.074,1,,,3.14.4,Windows 11,AMD64,20
20260908T181455-shard-w4-r0,escalabilidad,calentamiento,0,2026-09-08T18:14:55+00:00,shard,4,10000,,full,42,spawn,15.0,55866,9.699,179,8.1,10000014,1877676777,1234608.2,231.82,187.77,7.788,7.994,1,,,3.14.4,Windows 11,AMD64,20
20260908T181503-shard-w4-r1,escalabilidad,medida,1,2026-09-08T18:15:03+00:00,shard,4,10000,,full,42,spawn,15.0,55866,9.699,179,8.069,10000014,1877676777,1239272.3,232.69,187.77,7.767,7.969,1,,,3.14.4,Windows 11,AMD64,20
20260908T181512-shard-w4-r2,escalabilidad,medida,2,2026-09-08T18:15:12+00:00,shard,4,10000,,full,42,spawn,15.0,55866,9.699,179,8.129,10000014,1877676777,1230133.4,230.98,187.77,7.697,8.027,1,,,3.14.4,Windows 11,AMD64,20
20260908T181520-shard-w4-r3,escalabilidad,medida,3,2026-09-08T18:15:20+00:00,shard,4,10000,,full,42,spawn,15.0,55866,9.699,179,8.175,10000014,1877676777,1223255.8,229.69,187.77,7.873,8.074,1,,,3.14.4,Windows 11,AMD64,20
20260908T181525-shard-w8-r0,escalabilidad,calentamiento,0,2026-09-08T18:15:25+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,4.974,10000014,1877676777,2010629.0,377.53,187.77,4.399,4.826,1,,,3.14.4,Windows 11,AMD64,20
20260908T181530-shard-w8-r1,escalabilidad,medida,1,2026-09-08T18:15:30+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,4.912,10000014,1877676777,2035938.4,382.28,187.77,4.47,4.794,1,,,3.14.4,Windows 11,AMD64,20
20260908T181536-shard-w8-r2,escalabilidad,medida,2,2026-09-08T18:15:36+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,4.963,10000014,1877676777,2014881.3,378.33,187.77,4.169,4.849,1,,,3.14.4,Windows 11,AMD64,20
20260908T181541-shard-w8-r3,escalabilidad,medida,3,2026-09-08T18:15:41+00:00,shard,8,10000,,full,42,spawn,15.0,55866,9.699,179,4.972,10000014,1877676777,2011273.9,377.65,187.77,4.403,4.853,1,,,3.14.4,Windows 11,AMD64,20
20260908T181545-shard-w16-r0,escalabilidad,calentamiento,0,2026-09-08T18:15:45+00:00,shard,16,10000,,full,42,spawn,15.0,55866,9.699,179,3.931,10000014,1881196335,2544111.9,478.6,188.12,3.209,3.772,2,,,3.14.4,Windows 11,AMD64,20
20260908T181549-shard-w16-r1,escalabilidad,medida,1,2026-09-08T18:15:49+00:00,shard,16,10000,,full,42,spawn,15.0,55866,9.699,179,3.944,10000014,1881196335,2535191.3,476.92,188.12,3.163,3.759,2,,,3.14.4,Windows 11,AMD64,20
20260908T181553-shard-w16-r2,escalabilidad,medida,2,2026-09-08T18:15:53+00:00,shard,16,10000,,full,42,spawn,15.0,55866,9.699,179,3.958,10000014,1881196335,2526343.3,475.25,188.12,3.236,3.794,2,,,3.14.4,Windows 11,AMD64,20
20260908T181558-shard-w16-r3,escalabilidad,medida,3,2026-09-08T18:15:58+00:00,shard,16,10000,,full,42,spawn,15.0,55866,9.699,179,3.996,10000014,1881196335,2502489.6,470.77,188.12,3.195,3.838,2,,,3.14.4,Windows 11,AMD64,20
20260908T183901-queue-w8-r0,maxsize-1,calentamiento,0,2026-09-08T18:39:01+00:00,queue,8,10000,1,full,42,spawn,15.0,55866,9.699,179,15.864,10000014,1877676777,630359.5,118.36,187.77,15.368,15.738,1,,,3.14.4,Windows 11,AMD64,20
20260908T183918-queue-w8-r1,maxsize-1,medida,1,2026-09-08T18:39:18+00:00,queue,8,10000,1,full,42,spawn,15.0,55866,9.699,179,16.303,10000014,1877676777,613383.4,115.17,187.77,15.797,16.176,1,,,3.14.4,Windows 11,AMD64,20
