etiqueta,arch,esquema,workers,corridas,mediana_s,min_s,max_s,desviacion_s,speedup,eficiencia,eventos_por_segundo,mb_por_segundo,total_eventos,bytes_por_evento,desbalance_puntos
comp-arch,queue,full,8,3,5.893,5.869,6.025,0.084,,,1696863.6,318.62,10000014,187.77,1
comp-arch,shard,full,8,3,5.441,5.358,5.501,0.072,,,1837969.7,345.11,10000014,187.77,1
comp-lotes,queue,full,8,12,0.682,0.607,11.336,4.796,,,1466846.6,273.96,1000073,186.77,1
entrega,shard,full,8,1,5.504,5.504,5.504,0.0,,,1816936.7,341.16,10000014,187.77,1
escalabilidad,shard,full,1,3,31.0,30.845,31.43,0.303,1.0,1.0,322580.3,60.57,10000014,187.77,0
escalabilidad,shard,full,2,3,15.839,15.721,16.171,0.233,1.9572,0.9786,631359.6,118.55,10000014,187.77,1
escalabilidad,shard,full,4,3,8.129,8.069,8.175,0.053,3.8135,0.9534,1230133.4,230.98,10000014,187.77,1
escalabilidad,shard,full,8,3,4.963,4.912,4.972,0.032,6.2462,0.7808,2014881.3,378.33,10000014,187.77,1
escalabilidad,shard,full,16,3,3.958,3.944,3.996,0.027,7.8322,0.4895,2526343.3,475.25,10000014,188.12,2
maxsize-1,queue,full,8,3,16.303,16.081,16.529,0.224,,,613383.4,115.17,10000014,187.77,1
maxsize-512,queue,full,8,3,7.581,7.482,7.645,0.082,,,1319104.1,247.68,10000014,187.77,1
maxsize-64,queue,full,8,3,7.52,6.047,7.665,0.895,,,1329849.6,249.7,10000014,187.77,1
maxsize-8,queue,full,8,3,7.556,7.504,7.686,0.094,,,1323459.5,248.5,10000014,187.77,1
w1_varianza,shard,full,1,6,45.063,30.828,60.244,15.658,1.0,1.0,245161.2,46.03,10000014,187.77,0
